perseguir,#persegi#,persigo,#persigu#
expelir,#espeli#,expilo,#espilu#
vestir,#vesti#,visto,#vistu#
inserir,#inseri#,insiro,#insiru#
agredir,#agredi#,agrido,#agridu#
ferir,#feri#,firo,#firu#
prevenir,#preveni#,previno,#previnu#
preferir,#preferi#,prefiro,#prefiru#
competir,#kompeti#,compito,#kompitu#
servir,#servi#,sirvo,#sirvu#
conferir,#konferi#,confiro,#konfiru#
sugerir,#sujeri#,sujiro,#sujiru#
regredir,#regredi#,regrido,#regridu#
seguir,#segir#,sigo,#sigu#
divertir,#diverti#,divirto,#divirtu#
transgredir,#transgredi#,transgrido,#transgridu#
digerir,#dijeri#,digiro,#dijiru#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
aferir,#aferi#,afiro,#afiru#
preterir,#preteri#,pretiro,#pretiru#
convergir,#konverji#,convirjo,#konvirju#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
conseguir,#konsegi#,consigo,#konsigu#
repetir,#hepeti#,repito,#hepitu#
ingerir,#injeri#,ingiro,#injiru#
