entreter,#entrete#,entretenho,#entreteniu#
obter,#obite#,obtenho,#obiteniu#
sobrevir,#sobrevi#,sobrevenho,#sobreveniu#
conter,#konte#,contenho,#konteniu#
obvir,#obivi#,obvenho,#obiveniu#
ater,#ate#,atenho,#ateniu#
deter,#dete#,detenho,#deteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
ter,#te#,tenho,#teniu#
suster,#suste#,sustenho,#susteniu#
abster,#abiste#,abstenho,#abisteniu#
reter,#hete#,retenho,#heteniu#
manter,#mante#,matenho,#manteniu#
