entregar,#entrega#,entrego,#entrEgu#
comecar,#komesa#,comeco,#komEsu#
readequar,#headekua#,readequo,#headEkuu#
completar,#kompleta#,completo,#komplEtu#
protestar,#protesta#,protesto,#protEstu#
esperar,#espera#,espero,#espEru#
adequar,#adekua#,adequo,#adEkuu#
manifestar,#manifesta#,manifesto,#manifEstu#
infectar,#infekita#,infecto,#infEkitu#
emprestar,#empresta#,empresto,#emprEstu#
detestar,#detesta#,detesto,#detEstu#
testar,#testa#,testo,#tEstu#
pegar,#pega#,pego,#pEgu#
cegar,#sega#,cego,#sEgu#
secar,#seka#,seco,#sEku#
levar,#leva#,levo,#lEvu#
observar,#obiserva#,observo,#obisErvu#
conversar,#konversa#,converso,#konvErsu#
fechar,#fexa#,fecho,#fExu#
expressar,#espresa#,expresso,#esprEsu#
