class,correct,total,accuracy,proportion_in_corpus,perplexity
class__regular,51,214,0.24,50.59,1.003667418517191
class__por,1,27,0.04,6.38,1.0216509137733536
class__seguir,6,27,0.22,6.38,1.0272976835132128
class__botar,9,30,0.3,7.09,1.0313912141319914
class__testar,0,20,0.0,4.73,1.0366352231514517
class__fazer,1,15,0.07,3.55,1.0401483317947942
class__none,0,20,0.0,4.73,1.0419780721980858
class__vir,0,11,0.0,2.6,1.0608287886338088
class__ansiar,1,9,0.11,2.13,1.0734371776853562
class__ter,1,10,0.1,2.36,1.0734371776853562
class__mentir,2,8,0.25,1.89,1.0890554480458101
class__dizer,0,7,0.0,1.65,1.0945386040188052
class__pedir,0,7,0.0,1.65,1.1159551760682176
class__ver,0,6,0.0,1.42,1.1159551760682176
class__cobrir,1,7,0.14,1.65,1.118948989602855
class__ler,0,5,0.0,1.18,1.1723324373877617
