contrapor,#kontrapo#,contraponho,#kontraponiu#
dispor,#dispo#,disponho,#disponiu#
transpor,#transpo#,transponho,#transponiu#
repor,#hepo#,reponho,#heponiu#
redispor,#hedispo#,redisponho,#hedisponiu#
expor,#espo#,exponho,#esponiu#
por,#po#,ponho,#poniu#
despor,#despo#,desponho,#desponiu#
depor,#depo#,deponho,#deponiu#
superpor,#superpo#,superponho,#superponiu#
pospor,#pospo#,posponho,#posponiu#
opor,#opo#,oponho,#oponiu#
antepor,#antepo#,anteponho,#anteponiu#
prepor,#prepo#,preponho,#preponiu#
trespor,#trespo#,tresponho,#tresponiu#
interpor,#interpo#,interponho,#interponiu#
decompor,#dekompo#,decomponho,#dekomponiu#
compor,#kompo#,componho,#komponiu#
impor,#impo#,imponho,#imponiu#
supor,#supo#,suponho,#suponiu#
justapor,#justapo#,justaponho,#justaponiu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
pressupor,#presupo#,pressuponho,#presuponiu#
recompor,#hekompo#,recomponho,#hekomponiu#
entrepor,#entrepo#,entreponho,#entreponiu#
prossupor,#prosupo#,prossuponho,#prosuponiu#
predispor,#predispo#,predisponho,#predisponiu#
indispor,#indispo#,indisponho,#indisponiu#
desapor,#dezapo#,desaponho,#dezaponiu#
